Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
976,"The Art of Avoiding Your Alpha (Wildwood, #2)",Lola Glass,3.99,"3,357","Published March 13, 2024","My soulmate bought me a sugar cookie… and now, he's not going to let me go.",145,221,Kindle Edition,"8,733","Fantasy, Science Fiction Fantasy, Novels, Epic Fantasy, Fiction, Speculative Fiction, Adventure"
975,The Pact,Jodi Picoult,4.03,"314,699","First published April 22, 1998","For eighteen years the Hartes and the Golds have lived next door to each other, sharing everything from Chinese food to chicken pox to carpool duty—they've grown so close it seems they have always been a part of each other's lives. Parents and children alike have been best friends, so it's no surprise that in high school Chris and Emily's friendship blossoms into something more. They've been soul mates since they were born.","11,900",512,Mass Market Paperback,"8,742","Fiction, Romance, Contemporary, Chick Lit, Drama, Mystery, Adult Fiction"
977,"Pandemonium (Delirium, #2)",Lauren Oliver,4.03,"241,524","First published February 28, 2012","Lena żyje w świecie, w którym [miłość] uznano za niebezpieczną chorobę, a ludzie poddawani są zabiegowi, po którym już nigdy nie będą mogli kochać. Tuż przed operacją dziewczyna zakochuje się w Aleksie. Ich wspólna ucieczka kończy się tragicznie... Wśród dymu i płomieni Lena widzi twarz ukochanego po raz ostatni.","15,760",375,Hardcover,"8,716","Young Adult, Dystopia, Romance, Fantasy, Science Fiction, Fiction, Audiobook"
970,Christy,Catherine Marshall,4.24,"55,374","First published June 1, 1967","The train taking nineteen-year-old teacher Christy Huddleston from her home in Asheville, North Carolina, might as well be transporting her to another world. The Smoky Mountain community of Cutter Gap feels suspended in time, trapped by poverty, superstitions, and century-old traditions.","2,319",514,Kindle Edition,"8,791","Historical Fiction, Fiction, Classics, Christian Fiction, Christian, Romance, Historical"
973,On Earth We're Briefly Gorgeous,Ocean Vuong,4.04,"328,306","First published June 4, 2019"," is a letter from a son to a mother who cannot read. Written when the speaker, Little Dog, is in his late twenties, the letter unearths a family's history that began before he was born — a history whose epicenter is rooted in Vietnam — and serves as a doorway into parts of his life his mother has never known, all of it leading to an unforgettable revelation. At once a witness to the fraught yet undeniable love between a single mother and her son, it is also a brutally honest exploration of race, class, and masculinity. Asking questions central to our American moment, immersed as we are in addiction, violence, and trauma, but undergirded by compassion and tenderness, ","45,018",246,Hardcover,"8,773","Fiction, Poetry, LGBT, Contemporary, Queer, Literary Fiction, Audiobook"
974,"Lover Mine (Black Dagger Brotherhood, #8)",J.R. Ward,4.39,"114,377","First published April 27, 2010","John Matthew has come a long way since he was found living among humans, his vampire nature unknown to himself and to those around him. After he was taken in by the Brotherhood, no one could guess what his true history was- or his true identity. Indeed, the fallen Brother Darius has returned, but with a different face and a very different destiny. As a vicious personal vendetta takes John into the heart of the war, he will need to call up on both who he is now and who he once was in order to face off against evil incarnate.","4,622",528,Hardcover,"8,766","Paranormal, Romance, Paranormal Romance, Vampires, Fantasy, Urban Fantasy, Adult"
971,Saint Richard Parker,Merlin Franco,4.32,"5,913","Published October 24, 2023","Ace businessman, writer, and investigative journalist Richard Parker loses his job when he exposes the vegetarian CEO of his newspaper as a beef exporter. Accused of misconduct and forced to dissolve his company, he retreats to his wretched little village.",170,366,Kindle Edition,"8,779","Humor, Contemporary, Comedy, Novels, Drama, Fiction, Spirituality"
972,"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",Trenton Lee Stewart,4.20,"165,623","First published March 7, 2007","Dozens of children respond to this peculiar ad in the newspaper and are then put through a series of mind-bending tests, which readers take along with them. Only four children-two boys and two girls-succeed. Their to go on a secret mission that only the most intelligent and inventive children could complete. To accomplish it they will have to go undercover at the Learning Institute for the Very Enlightened, where the only rule is that there are no rules. But what they'll find in the hidden underground tunnels of the school is more than your average school supplies. So, if you're gifted, creative, or happen to know Morse Code, they could probably use your help. ","13,927",497,Kindle Edition,"8,775","Mystery, Fiction, Middle Grade, Young Adult, Fantasy, Childrens, Adventure"
969,"One Foot in the Grave (Night Huntress, #2)",Jeaniene Frost,4.29,"106,147","First published May 1, 2008","Half-vampire Cat Crawfield is now Special Agent Cat Crawfield, working for the government to rid the world of the rogue undead. She’s still using everything Bones, her sexy and dangerous ex, taught her, but when Cat is targeted for assassination, the only man who can help her is the vampire she left behind.","4,247",357,Mass Market Paperback,"8,793","Vampires, Paranormal, Urban Fantasy, Paranormal Romance, Fantasy, Adult, Audiobook"
966,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,4.01,"206,986","First published April 17, 2006","Since Louisiana cocktail waitress Sookie Stackhouse has so few living relatives, she hates to lose one - even her cousin Hadley, undead consort of the vampire Queen of Louisiana. Hadley's left everything she has to Sookie, but claiming that inheritance has a high risk factor. Some people don't want her looking too deeply into Hadley's past, ","4,490",324,Mass Market Paperback,"8,845","Fantasy, Vampires, Paranormal, Urban Fantasy, Romance, Fiction, Mystery"
965,"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)",Laurell K. Hamilton,4.02,"150,069","First published October 1, 1993","Anita Blake is small, dark, and dangerous. Her turf is the city of St. Louis. Her job: re-animating the dead and killing the undead who take things too far. But when the city’s most powerful vampire asks her to solve a series of vicious slayings, Anita must confront her greatest fear—her undeniable attraction to master vampire Jean-Claude, one of the creatures she is sworn to destroy...","6,587",355,Paperback,"8,869","Urban Fantasy, Fantasy, Vampires, Paranormal, Romance, Horror, Fiction"
962,"Crank (Crank, #1)",Ellen Hopkins,4.16,"148,907","First published October 1, 2004",In ,"9,513",537,Paperback,"8,875","Young Adult, Poetry, Fiction, Contemporary, Realistic Fiction, Banned Books, Mental Health"
963,We,Yevgeny Zamyatin,3.89,"100,703","First published January 1, 1924",Yevgeny Zamyatin's ,"7,861",256,Paperback,"8,873","Fiction, Science Fiction, Classics, Dystopia, Russia, Russian Literature, Literature"
968,"The Golden Lily (Bloodlines, #2)",Richelle Mead,4.31,"119,728","First published June 12, 2012","Sydney Sage is an Alchemist, one of a group of humans who dabble in magic and serve to bridge the worlds of humans and vampires. Alchemists protect vampire secrets - and human lives.","6,910",418,Hardcover,"8,812","Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Magic"
967,The Fountainhead,Ayn Rand,3.89,"327,306","First published April 15, 1943","The revolutionary literary vision that sowed the seeds of Objectivism, Ayn Rand's groundbreaking philosophy, and brought her immediate worldwide acclaim.","14,572",704,Mass Market Paperback,"8,816","Fiction, Classics, Philosophy, Literature, Novels, Politics, Architecture"
964,Victor's Blessing,Barbara Sontheimer,4.34,"6,388","Published November 15, 2022","Victor Gant, a 6'5"" half-Osage blacksmith is an unusual hero for a Civil War love story. But Victor, well liked and respected, is anything but usual. Born into poverty and burdened by his father's past abuses, he betters himself with his intellect and inventions. Despite no formal education he boasts a close friendship with the wealthy banker Ethan. When the town's shy beauty agrees to marry him, Victor's life is truly blessed. But blessings like life itself can be fleeting, and when the Civil war erupts Victor will have to make choices, until finally he is forced to bestow an agonizing blessing of his own.",52,582,Paperback,"8,870","Novels, Fiction, Historical, Historical Fiction, Drama, Book Club, Contemporary"
960,"Wizard and Glass (The Dark Tower, #4)",Stephen        King,4.26,"205,182","First published November 4, 1997","Roland, Eddie, Susannah, Jake, and Jake’s pet bumbler survive Blaine the Mono’s final crash, only to find themselves stranded in an alternate version of Topeka, Kansas, one that has been ravaged by the superflu virus. While following the deserted I-70 toward a distant glass palace, they hear the atonal squalling of a thinny, a place where the fabric of existence has almost entirely worn away. While camping near the edge of the thinny, Roland tells his ka-tet a story about another thinny, one that he encountered when he was little more than a boy. Over the course of one long magical night, Roland transports us to the Mid-World of long-ago and a seaside town called Hambry, where Roland fell in love with a girl named Susan Delgado, and where he and his old tet-mates Alain and Cuthbert battled the forces of John Farson, the harrier who—with a little help from a seeing sphere called Maerlyn’s Grapefruit—ignited Mid-World’s final war.","8,323",845,Paperback,"8,895","Fantasy, Fiction, Horror, Science Fiction, Audiobook, Westerns, Adventure"
961,A Moveable Feast,Ernest Hemingway,4.02,"155,744","First published January 1, 1964","Hemingway's memories of his life as an unknown writer living in Paris in the twenties are deeply personal, warmly affectionate, and full of wit. Looking back not only at his own much younger self, but also at the other writers who shared Paris with him - James Joyce, Wyndham Lewis, Scott and Zelda Fitzgerald - he recalls the time when, poor, happy, and writing in cafes, he discovered his vocation. Written during the last years of Hemingway's life, his memoir is a lively and powerful reflection of his genius that scintillates with the romance of the city.","11,605",192,Paperback,"8,880","Nonfiction, Memoir, Biography, France, Classics, Travel, Literature"
954,Where the Heart Is,Billie Letts,4.04,"250,238","First published January 1, 1995","Talk about unlucky sevens. An hour ago, seventeen-year-old, seven months pregnant Novalee Nation was heading for California with her boyfriend. Now she finds herself stranded at a Wal-Mart in Sequoyah, Oklahoma, with just $7.77 in change. But Novalee is about to discover hidden treasures in this small Southwest town--a group of down-to-earth, deeply caring people willing to help a homeless, jobless girl living secretly in a Wal-Mart. From Bible-thumping blue-haired Sister Thelma Husband to eccentric librarian Forney Hull who loves Novalee more than she loves herself, they are about to take her--and you, too--on a moving, funny, and unforgettable journey to . . . Where the Heart Is.","4,338",376,Paperback,"8,959","Fiction, Romance, Chick Lit, Contemporary, Adult Fiction, Adult, Drama"
